Momentum,gas [m3],elektriciteit [kwh],weekDay,T,FH,U,N,Q
2011-12-01 01:00:00,62.0,129.58920000000091,3,70.0,90.0,0.88,8.0,0.0
2011-12-01 02:00:00,53.0,176.66415,3,74.0,90.0,0.92,8.0,0.0
2011-12-01 03:00:00,51.0,182.52844999999886,3,83.0,90.0,0.97,8.0,0.0
2011-12-01 04:00:00,56.0,259.4910500000006,3,96.0,90.0,0.93,8.0,0.0
2011-12-01 05:00:00,94.0,348.4779999999985,3,101.0,90.0,0.92,7.0,1.0
2011-12-01 06:00:00,76.0,433.78074999999865,3,102.0,80.0,0.92,8.0,6.0
2011-12-01 07:00:00,66.0,477.45880000000125,3,108.0,80.0,0.91,8.0,22.0
2011-12-01 08:00:00,66.0,502.7074000000004,3,112.0,80.0,0.9,8.0,55.0
2011-12-01 09:00:00,66.0,511.97704999999803,3,111.0,90.0,0.93,8.0,24.0
2011-12-01 10:00:00,53.0,509.6617500000017,3,111.0,70.0,0.97,8.0,7.0
2011-12-01 11:00:00,65.0,508.4111499999977,3,109.0,70.0,0.98,8.0,5.0
2011-12-01 12:00:00,60.0,494.1729000000008,3,100.0,50.0,0.95,6.0,18.0
2011-12-01 13:00:00,66.0,473.67319999999876,3,102.0,40.0,0.94,8.0,2.0
2011-12-01 14:00:00,63.0,441.2083000000012,3,99.0,30.0,0.97,8.0,0.0
2011-12-01 15:00:00,67.0,375.15465000000086,3,92.0,20.0,0.97,8.0,0.0
2011-12-01 16:00:00,63.0,331.9244499999966,3,93.0,20.0,0.98,8.0,0.0
2011-12-01 17:00:00,66.0,302.40859999999697,3,90.0,20.0,0.98,8.0,0.0
2011-12-01 18:00:00,65.0,278.0303500000004,3,88.0,20.0,0.98,8.0,0.0
2011-12-01 19:00:00,65.0,248.02440000000087,3,81.0,30.0,0.96,8.0,0.0
2011-12-01 20:00:00,66.0,140.10945000000092,3,77.0,40.0,0.97,8.0,0.0
2011-12-01 21:00:00,49.0,119.04359999999909,3,72.0,40.0,0.97,8.0,0.0
2011-12-01 22:00:00,32.0,174.00240000000088,3,67.0,40.0,0.95,8.0,0.0
2011-12-01 23:00:00,50.0,176.1909500000015,3,65.0,40.0,0.97,8.0,0.0
2011-12-02 00:00:00,51.0,167.67335000000054,4,61.0,40.0,0.94,8.0,0.0
2011-12-02 01:00:00,73.0,131.83689999999848,4,59.0,40.0,0.95,8.0,0.0
2011-12-02 02:00:00,53.0,178.4048499999976,4,60.0,30.0,0.92,8.0,0.0
2011-12-02 03:00:00,56.0,187.84349999999816,4,58.0,30.0,0.95,8.0,0.0
2011-12-02 04:00:00,60.0,270.4422499999997,4,58.0,20.0,0.91,8.0,0.0
2011-12-02 05:00:00,98.0,351.91715000000056,4,59.0,30.0,0.95,8.0,0.0
2011-12-02 06:00:00,83.0,435.2679499999988,4,71.0,30.0,0.78,8.0,9.0
2011-12-02 07:00:00,82.0,467.46244999999885,4,69.0,40.0,0.87,8.0,18.0
2011-12-02 08:00:00,89.0,479.5374999999985,4,83.0,40.0,0.82,7.0,53.0
2011-12-02 09:00:00,85.0,482.7147,4,83.0,50.0,0.76,1.0,57.0
2011-12-02 10:00:00,84.0,486.09469999999885,4,97.0,60.0,0.73,7.0,58.0
2011-12-02 11:00:00,76.0,479.2924499999992,4,87.0,70.0,0.71,0.0,62.0
2011-12-02 12:00:00,75.0,463.1022500000007,4,77.0,60.0,0.75,2.0,19.0
2011-12-02 13:00:00,65.0,436.61994999999854,4,65.0,50.0,0.81,4.0,1.0
2011-12-02 14:00:00,77.0,411.72624999999937,4,62.0,40.0,0.85,4.0,0.0
2011-12-02 15:00:00,82.0,361.5332500000003,4,39.0,40.0,0.91,6.0,0.0
2011-12-02 16:00:00,89.0,324.35325000000006,4,51.0,40.0,0.88,1.0,0.0
2011-12-02 17:00:00,88.0,250.38195000000093,4,59.0,60.0,0.85,7.0,0.0
2011-12-02 18:00:00,85.0,136.7041000000003,4,53.0,60.0,0.9,5.0,0.0
2011-12-02 19:00:00,55.0,131.5073499999976,4,50.0,60.0,0.91,8.0,0.0
2011-12-02 20:00:00,44.0,133.0283500000003,4,54.0,60.0,0.89,8.0,0.0
2011-12-02 21:00:00,42.0,132.06505000000212,4,53.0,70.0,0.9,7.0,0.0
2011-12-02 22:00:00,46.0,134.12685000000178,4,59.0,80.0,0.88,8.0,0.0
2011-12-02 23:00:00,52.0,134.0592500000015,4,64.0,80.0,0.89,8.0,0.0
2011-12-03 00:00:00,48.0,134.60850000000087,5,71.0,100.0,0.86,8.0,0.0
2011-12-03 01:00:00,46.0,132.88470000000092,5,72.0,120.0,0.88,8.0,0.0
2011-12-03 02:00:00,45.0,133.5776000000024,5,67.0,120.0,0.93,8.0,0.0
2011-12-03 03:00:00,41.0,131.33834999999908,5,69.0,130.0,0.93,8.0,0.0
2011-12-03 04:00:00,45.0,180.30609999999848,5,71.0,130.0,0.96,8.0,0.0
2011-12-03 05:00:00,69.0,211.7823500000015,5,76.0,120.0,0.98,8.0,0.0
2011-12-03 06:00:00,90.0,209.61915,5,83.0,110.0,0.98,8.0,3.0
2011-12-03 07:00:00,78.0,206.04479999999816,5,93.0,100.0,0.97,8.0,8.0
2011-12-03 08:00:00,78.0,205.4701999999997,5,105.0,70.0,0.9,8.0,21.0
2011-12-03 09:00:00,70.0,207.5827000000013,5,107.0,80.0,0.79,8.0,34.0
2011-12-03 10:00:00,65.0,205.85890000000032,5,108.0,80.0,0.81,8.0,38.0
2011-12-03 11:00:00,60.0,202.87605,5,102.0,90.0,0.77,7.0,46.0
2011-12-03 12:00:00,60.0,205.62230000000147,5,93.0,90.0,0.75,6.0,23.0
2011-12-03 13:00:00,57.0,205.74905000000146,5,93.0,90.0,0.74,7.0,2.0
2011-12-03 14:00:00,64.0,205.2420499999988,5,91.0,90.0,0.71,8.0,0.0
2011-12-03 15:00:00,73.0,206.22225000000182,5,96.0,80.0,0.66,6.0,0.0
2011-12-03 16:00:00,67.0,169.08449999999908,5,96.0,80.0,0.66,8.0,0.0
2011-12-03 17:00:00,62.0,129.40330000000117,5,94.0,90.0,0.7,7.0,0.0
2011-12-03 18:00:00,38.0,128.41464999999934,5,96.0,90.0,0.67,7.0,0.0
2011-12-03 19:00:00,35.0,128.4653499999994,5,93.0,80.0,0.66,6.0,0.0
2011-12-03 20:00:00,29.0,127.764,5,91.0,80.0,0.68,8.0,0.0
2011-12-03 21:00:00,35.0,128.3470500000009,5,92.0,90.0,0.67,7.0,0.0
2011-12-03 22:00:00,35.0,128.93010000000177,5,95.0,80.0,0.66,8.0,0.0
2011-12-03 23:00:00,45.0,131.0341500000018,5,93.0,90.0,0.69,7.0,0.0
2011-12-04 00:00:00,41.0,130.93275,6,90.0,90.0,0.71,8.0,0.0
2011-12-04 01:00:00,38.0,130.77219999999846,6,89.0,90.0,0.71,7.0,0.0
2011-12-04 02:00:00,40.0,130.52714999999822,6,89.0,100.0,0.71,7.0,0.0
2011-12-04 03:00:00,37.0,131.19470000000152,6,83.0,100.0,0.71,7.0,0.0
2011-12-04 04:00:00,36.0,131.78620000000026,6,85.0,90.0,0.71,7.0,0.0
2011-12-04 05:00:00,39.0,131.65100000000146,6,83.0,90.0,0.69,8.0,1.0
2011-12-04 06:00:00,49.0,130.2060500000006,6,89.0,90.0,0.71,8.0,12.0
2011-12-04 07:00:00,41.0,129.07375000000124,6,86.0,80.0,0.76,8.0,21.0
2011-12-04 08:00:00,42.0,129.62300000000238,6,86.0,80.0,0.75,8.0,30.0
2011-12-04 09:00:00,39.0,129.59765000000058,6,91.0,80.0,0.7,8.0,33.0
2011-12-04 10:00:00,35.0,128.69349999999946,6,92.0,80.0,0.71,8.0,31.0
2011-12-04 11:00:00,36.0,128.3047999999997,6,91.0,80.0,0.7,8.0,25.0
2011-12-04 12:00:00,36.0,128.9132000000006,6,87.0,80.0,0.73,6.0,10.0
2011-12-04 13:00:00,38.0,128.9216499999994,6,89.0,80.0,0.71,8.0,1.0
2011-12-04 14:00:00,46.0,129.2850000000018,6,89.0,80.0,0.72,7.0,0.0
2011-12-04 15:00:00,44.0,128.5583000000015,6,89.0,80.0,0.71,6.0,0.0
2011-12-04 16:00:00,42.0,129.23430000000184,6,89.0,70.0,0.69,7.0,0.0
2011-12-04 17:00:00,38.0,129.0822000000027,6,78.0,70.0,0.78,7.0,0.0
2011-12-04 18:00:00,37.0,128.02594999999968,6,60.0,70.0,0.95,8.0,0.0
2011-12-04 19:00:00,36.0,128.8033500000009,6,59.0,50.0,0.93,8.0,0.0
2011-12-04 20:00:00,43.0,132.69035000000062,6,67.0,60.0,0.83,8.0,0.0
2011-12-04 21:00:00,40.0,135.5126500000003,6,65.0,60.0,0.78,7.0,0.0
2011-12-04 22:00:00,60.0,193.21769999999646,6,62.0,80.0,0.74,8.0,0.0
2011-12-04 23:00:00,55.0,185.89154999999906,6,57.0,80.0,0.78,8.0,0.0
2011-12-05 00:00:00,59.0,176.57119999999972,0,63.0,90.0,0.72,6.0,0.0
2011-12-05 01:00:00,64.0,138.90954999999758,0,51.0,90.0,0.78,6.0,0.0
2011-12-05 02:00:00,53.0,184.20999999999847,0,59.0,90.0,0.68,7.0,0.0
2011-12-05 03:00:00,57.0,184.42125,0,54.0,80.0,0.74,5.0,0.0
2011-12-05 04:00:00,65.0,263.10765000000185,0,50.0,80.0,0.79,7.0,0.0
2011-12-05 05:00:00,115.0,359.4630000000028,0,45.0,80.0,0.86,8.0,2.0
2011-12-05 06:00:00,94.0,429.1417000000012,0,62.0,80.0,0.73,1.0,24.0
2011-12-05 07:00:00,95.0,483.7202500000013,0,64.0,80.0,0.72,6.0,40.0
2011-12-05 08:00:00,101.0,500.87374999999963,0,66.0,100.0,0.72,6.0,50.0
2011-12-05 09:00:00,88.0,501.1272499999997,0,71.0,110.0,0.67,7.0,62.0
2011-12-05 10:00:00,77.0,501.0596499999977,0,65.0,110.0,0.69,7.0,27.0
2011-12-05 11:00:00,82.0,493.0997499999994,0,64.0,120.0,0.68,7.0,29.0
2011-12-05 12:00:00,95.0,479.115,0,63.0,110.0,0.64,7.0,13.0
2011-12-05 13:00:00,88.0,453.5537499999994,0,61.0,110.0,0.69,7.0,1.0
2011-12-05 14:00:00,82.0,422.25495000000086,0,62.0,120.0,0.65,5.0,0.0
2011-12-05 15:00:00,92.0,360.7474000000003,0,63.0,110.0,0.65,2.0,0.0
2011-12-05 16:00:00,88.0,312.0162500000006,0,61.0,110.0,0.66,3.0,0.0
2011-12-05 17:00:00,82.0,263.86815,0,62.0,100.0,0.68,5.0,0.0
2011-12-05 18:00:00,88.0,139.6024500000027,0,58.0,100.0,0.71,7.0,0.0
2011-12-05 19:00:00,53.0,133.61985,0,62.0,90.0,0.68,7.0,0.0
2011-12-05 20:00:00,43.0,133.34945000000062,0,55.0,90.0,0.67,1.0,0.0
2011-12-05 21:00:00,39.0,121.84900000000013,0,56.0,80.0,0.73,8.0,0.0
2011-12-05 22:00:00,39.0,169.99710000000272,0,57.0,80.0,0.7,6.0,0.0
2011-12-05 23:00:00,62.0,168.8986000000003,0,62.0,80.0,0.68,6.0,0.0
2011-12-06 00:00:00,59.0,159.63740000000058,1,57.0,90.0,0.72,4.0,0.0
2011-12-06 01:00:00,70.0,125.52475000000031,1,59.0,90.0,0.7,8.0,0.0
2011-12-06 02:00:00,52.0,172.0673499999976,1,33.0,80.0,0.87,7.0,0.0
2011-12-06 03:00:00,56.0,179.73149999999822,1,58.0,80.0,0.76,7.0,0.0
2011-12-06 04:00:00,63.0,262.06830000000093,1,57.0,80.0,0.76,2.0,0.0
2011-12-06 05:00:00,121.0,362.1670000000012,1,61.0,90.0,0.73,7.0,2.0
2011-12-06 06:00:00,88.0,452.6496000000019,1,55.0,100.0,0.8,8.0,16.0
2011-12-06 07:00:00,95.0,471.214249999998,1,53.0,100.0,0.82,7.0,15.0
2011-12-06 08:00:00,83.0,499.3781000000016,1,74.0,100.0,0.74,7.0,65.0
2011-12-06 09:00:00,107.0,515.9063000000016,1,67.0,100.0,0.71,8.0,45.0
2011-12-06 10:00:00,98.0,514.7148500000015,1,68.0,100.0,0.77,6.0,41.0
2011-12-06 11:00:00,81.0,518.9229500000006,1,61.0,100.0,0.79,6.0,29.0
2011-12-06 12:00:00,47.0,507.5323499999983,1,60.0,90.0,0.77,8.0,14.0
2011-12-06 13:00:00,152.0,479.0980999999997,1,38.0,70.0,0.91,7.0,0.0
2011-12-06 14:00:00,93.0,451.4412499999997,1,51.0,50.0,0.75,4.0,0.0
2011-12-06 15:00:00,87.0,394.7586499999997,1,54.0,60.0,0.76,7.0,0.0
2011-12-06 16:00:00,97.0,336.82545,1,50.0,60.0,0.73,5.0,0.0
